slug,media,headline,date,publisher,href,iref,Customer,Product,Finance,Operations,Partner,Competitor,Environment
grubhub-strategy,article,"As food-delivery firms court smaller markets, new hurdles emerge",2019-03-19,The Wall Street Journal,https://www.wsj.com/articles/food-delivery-companies-acquire-a-taste-for-smaller-markets-11552383000,https://si.wsj.net/public/resources/images/OG-CK594_201903_8SR_20190312104259.gif,,,,,,1,
grubhub-strategy,article,Food-delivery companies serve restaurants better tech,2019-07-15,The Wall Street Journal,https://www.wsj.com/articles/food-delivery-companies-serve-restaurants-better-tech-11563208475,https://images.wsj.net/im-89638/?width=700&size=1.5&pixel_ratio=2,,,,,1,,
grubhub-strategy,article,Grubhub's new rewards feature integrated with restaurant loyalty programs,2019-09-05,Restaurant Dive,https://www.restaurantdive.com/news/grubhubs-new-rewards-feature-integrated-with-restaurant-loyalty-programs/562266/,https://www.restaurantdive.com/imgproxy/q52QH3ftkLWNkCOloc0CVHjRAdTNkHhkm7dNkoX0fQA/g:ce/rs:fill:1600:900:1/bG9jYWw6Ly8vZGl2ZWltYWdlL2dydWJodWJfcGVya3MuanBn.jpg,,,,,1,,
grubhub-strategy,letter,October 2019 shareholder letter,2019-10-28,Grubhub,https://drive.google.com/file/d/1vzOW801U9BKSYx3_Lnh9u7j3sycuqfYe/view?usp=sharing,https://upload.wikimedia.org/wikipedia/en/thumb/5/56/GrubHub_2021.svg/440px-GrubHub_2021.svg.png,,,1,1,,,
grubhub-strategy,article,Grubhub deals gut check for food-delivery companies,2019-10-29,The Wall Street Journal,https://www.wsj.com/articles/grubhub-deals-gut-check-for-food-delivery-companies-11572384327,https://images.wsj.net/im-121850/?width=700&size=1.5&pixel_ratio=2,,,1,1,,,
grubhub-strategy,article,Food-delivery services taxed by duty question,2019-11-20,The Wall Street Journal,https://www.wsj.com/articles/food-delivery-services-taxed-by-duty-question-11574261964,https://images.wsj.net/im-128772/?width=700&size=1.5&pixel_ratio=2,,,1,1,,,
grubhub-strategy,article,"Food-delivery firms put mergers, IPOs on the menu",2020-02-18,The Wall Street Journal,https://www.wsj.com/articles/food-delivery-firms-put-mergers-ipos-on-the-menu-11582030802,https://images.wsj.net/im-155051/?width=700&size=1.5&pixel_ratio=2,,,,,,1,
grubhub-strategy,article,Grubhub launches subscription delivery service,2020-02-27,The Motley Fool,https://www.fool.com/investing/2020/02/27/grubhub-launches-subscription-delivery-service.aspx,https://g.foolcdn.com/image/?url=https%3A//g.foolcdn.com/editorial/images/560250/grubhub-delivery-source-grub.jpg&w=2000&op=resize,1,1,,,,,
grubhub-strategy,article,The Impact of Online Food Delivery Services on Restaurant Sales,2020-03-01,Standford University,https://drive.google.com/file/d/17d789D6IfSw5U2UmBdwhQdlg9gvDw8-g/view?usp=sharing,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Seal_of_Leland_Stanford_Junior_University.svg/300px-Seal_of_Leland_Stanford_Junior_University.svg.png,,,,,1,,
grubhub-strategy,article,Coronavirus lockdowns prompt smaller restaurants to rethink delivery,2020-04-01,The Wall Street Journal,https://www.wsj.com/articles/coronavirus-lockdowns-prompt-smaller-restaurants-to-rethink-delivery-11585743246,https://images.wsj.net/im-170482/?width=700&size=1.5&pixel_ratio=2,,,,,1,,
grubhub-strategy,article,Grubhub can thrive only if restaurants survive,2020-04-14,The Wall Street Journal,https://www.wsj.com/articles/grubhub-can-thrive-only-if-restaurants-survive-11586858581,https://images.wsj.net/im-175845/?width=700&size=1.5&pixel_ratio=2,,,,,1,,
grubhub-strategy,article,Grubhub Inc. CEO Matt Maloney on Q1 2020 results: Earnings call transcript,2020-05-07,The Motley Fool,https://www.fool.com/earnings/call-transcripts/2020/05/07/grubhub-inc-grub-q1-2020-earnings-call-transcript.aspx,https://g.foolcdn.com/misc-assets/fool-transcripts-logo.png,,,1,1,,,
grubhub-strategy,article,"America is stuck at home, but food-delivery companies still struggle to profit",2020-05-13,The Wall Street Journal,https://www.wsj.com/articles/america-is-stuck-at-home-but-food-delivery-companies-still-struggle-to-profit-11589374801,https://images.wsj.net/im-186436/?width=700&size=1.5&pixel_ratio=2,,,1,1,,,
grubhub-strategy,article,The new recipe for restaurant survival? Become the next Domino’s,2020-06-06,The Wall Street Journal,https://www.wsj.com/articles/the-new-recipe-for-restaurant-survival-become-the-next-dominos-11591416045,https://images.wsj.net/im-195140/IM,,,,,1,,
grubhub-strategy,article,Grubhub to combine with Just Eat Takeaway.com in all-stock deal,2020-06-10,The Wall Street Journal,https://www.wsj.com/articles/just-eat-takeaway-com-nears-all-stock-deal-for-grubhub-11591797653,https://images.wsj.net/im-196794/?width=700&size=1.5&pixel_ratio=2,,,1,1,,,
grubhub-strategy,article,Strategy behind blockbuster Grubhub deal: Don’t deliver,2020-06-28,The Wall Street Journal,https://www.wsj.com/articles/strategy-behind-blockbuster-grubhub-deal-dont-deliver-11593266407,https://images.wsj.net/im-202605/?width=700&size=1.5&pixel_ratio=2,,,1,1,,,
grubhub-strategy,article,"Grubhub generates sales, not profit, during pandemic",2020-07-30,The Wall Street Journal,https://www.wsj.com/articles/grubhub-generates-sales-not-profit-during-pandemic-11596119109,https://images.wsj.net/im-214130/?width=700&size=1.5&pixel_ratio=2,,,1,1,,,
grubhub-strategy,article,How DoorDash pulled ahead in the food-delivery war,2020-12-08,The Wall Street Journal,https://www.wsj.com/articles/how-doordash-pulled-ahead-in-food-delivery-war-11607438731,https://images.wsj.net/im-268745/square,,,,,,1,
grubhub-strategy,article,Grubhub offers restaurants new ways to receive orders—without paying commission fees,2020-12-08,CNBC,https://www.cnbc.com/2020/12/08/grubhub-offers-restaurants-new-ways-to-receive-orders-without-fees.html,https://image.cnbcfm.com/api/v1/image/106441984-1584111691653gettyimages-634145872.jpeg?v=1607371652&w=740&h=416&ffmt=webp&vtcrop=y,,,,,1,,
grubhub-strategy,article,"DoorDash, Grubhub, Others could face a pared-down menu",2020-12-17,The Wall Street Journal,https://www.wsj.com/articles/doordash-grubhub-others-could-face-a-pared-down-menu-11608206400,https://images.wsj.net/im-274317/?width=700&size=1.5&pixel_ratio=2,,,,,1,,
grubhub-strategy,spreadsheet,Grubhub consolidated financials,2020-12-31,"Stephen Jones, Ph.D.",https://docs.google.com/spreadsheets/d/146j43CqHdhN0vmsnr7hAGV-LHEkmAbiTJDLpRclSMIg/edit#gid=0,google-sheets-2020-logo.gif,,,1,1,,,
grubhub-strategy,article,Regulators are fed up with food-delivery fees,2021-01-16,The Wall Street Journal,https://www.wsj.com/articles/regulators-are-fed-up-with-food-delivery-fees-11610809200,https://images.wsj.net/im-286188/?width=700&size=1.5&pixel_ratio=2,,,1,1,,,
grubhub-strategy,presentation,GrubHub and its industry,2021-02-18,"Stephen Jones, Ph.D.",https://drive.google.com/file/d/1Hp2O1e8XRpppIrjFr5d-T5zoF3Mh_bZd/view?usp=sharing,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Google_Slides_2020_Logo.svg/800px-Google_Slides_2020_Logo.svg.png,,1,,1,,,1
grubhub-strategy,article,Amazon and Grubhub strike deal to bring restaurant delivery to Prime members,2022-07-06,The Wall Street Journal,https://www.wsj.com/articles/amazon-strikes-partnership-deal-with-grubhub-that-could-include-small-equity-stake-11657087501,https://images.wsj.net/im-577685/?width=700&size=1.5&pixel_ratio=2,,,,,1,,
grubhub-strategy,article,Amazon could turn Grubhub into a tastier meal,2022-07-06,The Wall Street Journal,https://www.wsj.com/articles/amazon-could-turn-grubhub-into-a-tastier-meal-11657115118,https://images.wsj.net/im-577757/?width=700&size=1.5&pixel_ratio=2,,,,,1,,
grubhub-strategy,article,Grubhub’s rivals won’t get eaten by Prime partnership,2022-07-16,The Wall Street Journal,https://www.wsj.com/articles/grubhubs-rivals-wont-get-eaten-by-prime-partnership-11657980002,https://images.wsj.net/im-582153/?width=700&size=1.5&pixel_ratio=2,,,,,1,,
grubhub-strategy,article,Grubhub hustles to catch up in business it once led,2022-07-17,The Wall Street Journal,https://www.wsj.com/articles/grubhub-seeks-new-path-in-competitive-delivery-business-11658062980,https://images.wsj.net/im-582717/?width=700&size=1.5&pixel_ratio=2,,,1,1,,,
grubhub-strategy,article,"‘Too many seats, too few butts’ mean changes at your favorite restaurant",2023-04-23,The Wall Street Journal,https://www.wsj.com/articles/too-many-seats-too-few-butts-mean-changes-at-your-favorite-restaurant-e876b092,https://images.wsj.net/im-769612?width=700&size=1.5005861664712778&pixel_ratio=2,,,,,,,1
netflix-cloud-gaming,article,How Netflix Accounts for All of Its Content Spending,2017-07-19,The Motley Fool,https://www.fool.com/investing/2017/07/19/how-netflix-accounts-for-all-of-its-content-spendi.aspx,https://g.foolcdn.com/image/?url=https%3A//g.foolcdn.com/editorial/images/450595/netflix.jpg&w=2000&op=resize,,,1,,,,
netflix-cloud-gaming,article,Netflix puts content above costs but is the policy sustainable?,2018-05-25,The Guardian,https://www.theguardian.com/media/2018/may/25/netflix-puts-content-above-costs-but-is-policy-sustainable,https://i.guim.co.uk/img/media/3f9ff631be853e9e6bbbbfbdc2ff0dc5884f258d/35_24_3533_2120/master/3533.jpg?width=620&dpr=1&s=none,,,1,,,,
netflix-cloud-gaming,article,How Much are You Worth to Netflix?,2018-06-25,Medium,https://medium.com/@tanayj/how-much-are-you-worth-to-netflix-2fb61feb5441,https://miro.medium.com/v2/resize:fit:720/0*8aIg3ScbGFrdUvKE,,,1,,,,
netflix-cloud-gaming,article,"At Netflix, Radical Transparency and Blunt Firings Unsettle the Ranks",2018-10-25,The Wall Street Journal,https://www.wsj.com/articles/at-netflix-radical-transparency-and-blunt-firings-unsettle-the-ranks-1540497174,https://images.wsj.net/im-32930/IM,,,,1,,,
netflix-cloud-gaming,article,The Tricky—but Potentially Lucrative—Task of Streaming Videogames,2018-11-08,The Wall Street Journal,https://www.wsj.com/articles/the-trickybut-potentially-lucrativetask-of-streaming-videogames-1541673000,https://s.wsj.net/public/resources/images/B3-CI823_GAMEST_P_20181112152123.jpg,1,,,1,,,
netflix-cloud-gaming,article,"At Netflix, Who Wins When It’s Hollywood vs. the Algorithm?",2018-11-10,The Wall Street Journal,https://www.wsj.com/articles/at-netflix-who-wins-when-its-hollywood-vs-the-algorithm-1541826015,https://s.wsj.net/public/resources/images/B3-CI403_NETFLI_IM_20181109182812.jpg,,,,1,1,,
netflix-cloud-gaming,article,"Netflix, but for video games",2019-02-02,The Economist,https://www.economist.com/business/2019/02/02/netflix-but-for-video-games,"https://www.economist.com/cdn-cgi/image/width=834,quality=80,format=auto/sites/default/files/images/print-edition/20190202_WBP004_0.jpg",,,1,,,,1
netflix-cloud-gaming,article,Debt And Punishment - The Netflix Version,2019-12-11,Seeking Alpha,https://seekingalpha.com/article/4311730-debt-and-punishment-netflix-version,https://static.seekingalpha.com/uploads/2019/12/10/saupload_5de9171cfd9db23aa7729058.jpeg,,,1,,,,
netflix-cloud-gaming,article,Can Reed Hastings preserve Netflix’s culture of innovation as it grows?,2020-09-12,The Economist,https://www.economist.com/business/2020/09/12/can-reed-hastings-preserve-netflixs-culture-of-innovation-as-it-grows,"https://www.economist.com/cdn-cgi/image/width=834,quality=80,format=auto/sites/default/files/images/print-edition/20200912_WBD001_0.jpg",,,1,1,,,
netflix-cloud-gaming,visual,The Rise Of Gaming Revenue Visualized,2020-11-24,Visual Capitalist,https://imgur.com/KDPkcZz,https://i.imgur.com/KDPkcZz.png,,,,,,,1
netflix-cloud-gaming,article,Want to Be a Hollywood Player? Covid and Streaming Have Changed All the Rules,2021-01-21,The Wall Street Journal,https://www.wsj.com/articles/want-to-be-a-hollywood-player-covid-and-streaming-have-changed-all-the-rules-11611247554,https://images.wsj.net/im-288484?width=3000&height=2000,,,,,,1,1
